ForecastDate,Date,Key,Estimated,Confirmed
2020-04-22,2020-04-24,AR_C,1035,
2020-04-22,2020-04-25,AR_C,1051,
2020-04-22,2020-04-26,AR_C,1066,
2020-04-22,2020-04-27,AR_C,1081,
2020-04-22,2020-04-28,AR_C,1094,
2020-04-22,2020-04-29,AR_C,1107,
2020-04-22,2020-03-26,AR_H,52,58
2020-04-22,2020-03-27,AR_H,58,63
2020-04-22,2020-03-28,AR_H,65,67
2020-04-22,2020-03-29,AR_H,71,73
2020-04-22,2020-03-30,AR_H,78,86
2020-04-22,2020-03-31,AR_H,86,91
2020-04-22,2020-04-01,AR_H,93,96
2020-04-22,2020-04-02,AR_H,101,106
2020-04-22,2020-04-03,AR_H,109,115
2020-04-22,2020-04-04,AR_H,117,121
2020-04-22,2020-04-05,AR_H,126,121
2020-04-22,2020-04-06,AR_H,134,124
2020-04-22,2020-04-07,AR_H,143,140
2020-04-22,2020-04-08,AR_H,152,148
2020-04-22,2020-04-09,AR_H,161,156
2020-04-22,2020-04-10,AR_H,170,161
2020-04-22,2020-04-11,AR_H,179,177
2020-04-22,2020-04-12,AR_H,188,178
2020-04-22,2020-04-13,AR_H,197,199
2020-04-22,2020-04-14,AR_H,206,209
2020-04-22,2020-04-15,AR_H,215,226
2020-04-22,2020-04-16,AR_H,224,226
2020-04-22,2020-04-17,AR_H,233,237
2020-04-22,2020-04-18,AR_H,242,246
2020-04-22,2020-04-19,AR_H,251,251
2020-04-22,2020-04-20,AR_H,259,258
2020-04-22,2020-04-21,AR_H,267,267
2020-04-22,2020-04-22,AR_H,276,273
2020-04-22,2020-04-23,AR_H,284,
2020-04-22,2020-04-24,AR_H,292,
2020-04-22,2020-04-25,AR_H,299,
2020-04-22,2020-04-26,AR_H,307,
2020-04-22,2020-04-27,AR_H,314,
2020-04-22,2020-04-28,AR_H,321,
2020-04-22,2020-04-29,AR_H,328,
2020-04-22,2020-03-26,AR_S,52,55
2020-04-22,2020-03-27,AR_S,66,64
2020-04-22,2020-03-28,AR_S,81,77
2020-04-22,2020-03-29,AR_S,96,90
2020-04-22,2020-03-30,AR_S,110,111
2020-04-22,2020-03-31,AR_S,124,133
2020-04-22,2020-04-01,AR_S,136,144
2020-04-22,2020-04-02,AR_S,148,152
2020-04-22,2020-04-03,AR_S,158,160
2020-04-22,2020-04-04,AR_S,167,165
2020-04-22,2020-04-05,AR_S,175,176
2020-04-22,2020-04-06,AR_S,182,184
2020-04-22,2020-04-07,AR_S,189,187
2020-04-22,2020-04-08,AR_S,194,189
2020-04-22,2020-04-09,AR_S,198,196
2020-04-22,2020-04-10,AR_S,202,197
2020-04-22,2020-04-11,AR_S,205,200
2020-04-22,2020-04-12,AR_S,208,203
2020-04-22,2020-04-13,AR_S,210,205
2020-04-22,2020-04-14,AR_S,212,207
2020-04-22,2020-04-15,AR_S,214,209
2020-04-22,2020-04-16,AR_S,215,212
2020-04-22,2020-04-17,AR_S,216,218
2020-04-22,2020-04-18,AR_S,217,221
2020-04-22,2020-04-19,AR_S,218,222
2020-04-22,2020-04-20,AR_S,219,224
2020-04-22,2020-04-21,AR_S,219,225
2020-04-22,2020-04-22,AR_S,220,230
2020-04-22,2020-04-23,AR_S,220,
2020-04-22,2020-04-24,AR_S,221,
2020-04-22,2020-04-25,AR_S,221,
2020-04-22,2020-04-26,AR_S,221,
2020-04-22,2020-04-27,AR_S,221,
2020-04-22,2020-04-28,AR_S,222,
2020-04-22,2020-04-29,AR_S,222,
2020-04-22,2020-03-26,AR_T,11,13
2020-04-22,2020-03-27,AR_T,12,14
2020-04-22,2020-03-28,AR_T,14,14
2020-04-22,2020-03-29,AR_T,15,14
2020-04-22,2020-03-30,AR_T,17,15
2020-04-22,2020-03-31,AR_T,18,16
2020-04-22,2020-04-01,AR_T,19,17
2020-04-22,2020-04-02,AR_T,21,21
2020-04-22,2020-04-03,AR_T,22,21
