Date,Key,GroceryAndPharmacy,TransitStations,Parks,Workplaces,RetailAndRecreation,Residential
2020-02-18,CZ,1,-1,7,-2,4,0
2020-02-18,DE,1,-1,6,-1,3,1
2020-02-18,DK,0,-2,11,-1,0,1
2020-02-18,DO,-2,0,2,1,-3,1
2020-02-18,EC,0,2,2,-6,3,1
2020-02-18,EE,1,4,14,1,5,0
2020-02-18,EG,0,2,1,10,-5,0
2020-02-18,ES,1,2,10,3,0,-1
2020-02-18,FI,1,-8,33,-13,4,2
2020-02-18,FJ,-5,4,-2,8,-2,0
2020-02-18,FR,-2,-5,20,-12,-3,2
2020-02-18,GA,-9,-5,-2,2,-4,2
2020-02-18,GB,-2,-4,9,-14,6,3
2020-02-18,GE,7,5,6,5,4,-1
2020-02-18,GH,-2,-4,-6,2,-4,0
2020-02-18,GR,5,5,17,3,5,-1
2020-02-18,GT,-2,0,0,3,0,0
2020-02-18,HK,-8,-31,-11,-18,-24,14
2020-02-18,HN,0,-3,1,8,-5,-1
2020-02-18,HR,2,1,12,1,4,0
2020-02-18,HT,-9,-9,-6,-1,-8,2
2020-02-18,HU,2,2,17,2,3,-1
2020-02-18,ID,-3,0,-3,1,-3,1
2020-02-18,IE,-3,-2,-4,-9,2,2
2020-02-18,IL,-5,-2,-9,0,-3,1
2020-02-18,IN,2,1,1,4,0,0
2020-02-18,IQ,10,13,8,11,11,0
2020-02-18,IT,0,3,11,1,0,0
2020-02-18,JM,-1,2,-8,2,-3,1
2020-02-18,JO,-2,-3,4,4,-5,0
2020-02-18,JP,2,-3,7,0,0,0
2020-02-18,KE,-3,2,3,1,1,0
2020-02-18,KG,3,-2,-5,10,0,-1
2020-02-18,KH,-2,-20,0,5,-2,2
2020-02-18,KR,-1,-4,13,1,-5,2
2020-02-18,KW,2,5,1,7,1,0
2020-02-18,KZ,-5,-6,-6,3,-5,1
2020-02-18,LA,0,-4,0,9,-1,2
2020-02-18,LB,1,6,3,4,3,-1
2020-02-18,LK,3,4,6,6,0,1
2020-02-18,LT,1,-1,18,-14,3,2
2020-02-18,LU,-6,-12,-3,-23,-5,3
2020-02-18,LV,0,0,4,2,0,0
