Date,Key,CountryCode,CountryName,RegionCode,RegionName,Confirmed,Deaths,Latitude,Longitude,Population
2020-01-28,CN_HB,CN,China,HB,Hubei,2714,100,30.975600,112.270700,
2020-01-28,CN_HE,CN,China,HE,Hebei,33,1,39.549000,116.130600,
2020-01-28,CN_HI,CN,China,HI,Hainan,40,1,19.195900,109.745300,
2020-01-28,CN_HL,CN,China,HL,Heilongjiang,30,1,47.862000,127.761500,
2020-01-28,CN_HN,CN,China,HN,Hunan,143,0,27.610400,111.708800,
2020-01-28,CN_JL,CN,China,JL,Jilin,8,0,43.666100,126.192300,
2020-01-28,CN_JS,CN,China,JS,Jiangsu,70,0,32.971100,119.455000,
2020-01-28,CN_JX,CN,China,JX,Jiangxi,72,0,27.614000,115.722100,
2020-01-28,CN_LN,CN,China,LN,Liaoning,30,0,41.295600,122.608500,
2020-01-28,CN_NX,CN,China,NX,Ningxia,11,0,37.269200,106.165500,
2020-01-28,CN_QH,CN,China,QH,Qinghai,6,0,35.745200,95.995600,
2020-01-28,CN_SC,CN,China,SC,Sichuan,90,0,30.617100,102.710300,
2020-01-28,CN_SD,CN,China,SD,Shandong,95,0,36.342700,118.149800,
2020-01-28,CN_SH,CN,China,SH,Shanghai,66,1,31.202000,121.449100,
2020-01-28,CN_SN,CN,China,SN,Shaanxi,46,0,35.191700,108.870100,
2020-01-28,CN_SX,CN,China,SX,Shanxi,20,0,37.577700,112.292200,
2020-01-28,CN_TJ,CN,China,TJ,Tianjin,24,0,39.305400,117.323000,
2020-01-28,CN_XJ,CN,China,XJ,Xinjiang,10,0,41.112900,85.240100,
2020-01-28,CN_YN,CN,China,YN,Yunnan,44,0,24.974000,101.487000,
2020-01-28,CN_ZJ,CN,China,ZJ,Zhejiang,173,0,29.183200,120.093400,
2020-01-29,CN_AH,CN,China,AH,Anhui,152,0,31.825700,117.226400,
2020-01-29,CN_BJ,CN,China,BJ,Beijing,102,1,40.182400,116.414200,
2020-01-29,CN_CQ,CN,China,CQ,Chongqing,147,0,30.057200,107.874000,
2020-01-29,CN_FJ,CN,China,FJ,Fujian,84,0,26.078900,117.987400,
2020-01-29,CN_GD,CN,China,GD,Guangdong,272,0,23.341700,113.424400,
2020-01-29,CN_GS,CN,China,GS,Gansu,24,0,37.809900,101.058300,
2020-01-29,CN_GX,CN,China,GX,Guangxi,58,0,23.829800,108.788100,
2020-01-29,CN_GZ,CN,China,GZ,Guizhou,9,0,26.815400,106.874800,
2020-01-29,CN_HA,CN,China,HA,Henan,206,2,33.882000,113.614000,
2020-01-29,CN_HB,CN,China,HB,Hubei,3554,125,30.975600,112.270700,
2020-01-29,CN_HE,CN,China,HE,Hebei,48,1,39.549000,116.130600,
2020-01-29,CN_HI,CN,China,HI,Hainan,43,1,19.195900,109.745300,
