ForecastDate,Date,Key,Estimated,Confirmed
2020-05-22,2020-04-25,AL,686.8978890333154,712
2020-05-22,2020-04-26,AL,702.0716106837153,726
2020-05-22,2020-04-27,AL,716.868310039917,736
2020-05-22,2020-04-28,AL,731.2833614119168,750
2020-05-22,2020-04-29,AL,745.3136077168455,766
2020-05-22,2020-04-30,AL,758.9572533327126,773
2020-05-22,2020-05-01,AL,772.2137585658484,782
2020-05-22,2020-05-02,AL,785.0837364884119,789
2020-05-22,2020-05-03,AL,797.5688527713683,795
2020-05-22,2020-05-04,AL,809.6717290189783,803
2020-05-22,2020-05-05,AL,821.3958500031175,820
2020-05-22,2020-05-06,AL,832.7454750993192,832
2020-05-22,2020-05-07,AL,843.7255541409855,842
2020-05-22,2020-05-08,AL,854.3416478331101,850
2020-05-22,2020-05-09,AL,864.5998528015534,856
2020-05-22,2020-05-10,AL,874.5067312976761,868
2020-05-22,2020-05-11,AL,884.0692455302698,872
2020-05-22,2020-05-12,AL,893.2946965565113,876
2020-05-22,2020-05-13,AL,902.1906676303674,880
2020-05-22,2020-05-14,AL,910.7649718798108,898
2020-05-22,2020-05-15,AL,919.0256041626819,916
2020-05-22,2020-05-16,AL,926.9806969344221,933
2020-05-22,2020-05-17,AL,934.6384799486005,946
2020-05-22,2020-05-18,AL,942.0072436026056,948
2020-05-22,2020-05-19,AL,949.0953057355696,949
2020-05-22,2020-05-20,AL,955.9109816830482,964
2020-05-22,2020-05-21,AL,962.4625573927965,969
2020-05-22,2020-05-22,AL,968.7582654077451,981
2020-05-22,2020-05-23,AL,974.8062635256872,
2020-05-22,2020-05-24,AL,980.6146159498907,
2020-05-22,2020-05-25,AL,986.1912767506209,
2020-05-22,2020-05-26,AL,991.5440754641392,
2020-05-22,2020-05-27,AL,996.6807046629325,
2020-05-22,2020-05-28,AL,1001.6087093385598,
2020-05-22,2020-05-29,AL,1006.335477946413,
2020-05-22,2020-04-25,AM,1684.070791748042,1746
2020-05-22,2020-04-26,AM,1763.6968797694415,1808
2020-05-22,2020-04-27,AM,1846.9444765641865,1867
2020-05-22,2020-04-28,AM,1933.9715440289565,1932
2020-05-22,2020-04-29,AM,2024.9426279336376,1932
2020-05-22,2020-04-30,AM,2120.0291190046273,2066
2020-05-22,2020-05-01,AM,2219.4095238049345,2148
2020-05-22,2020-05-02,AM,2323.269745756606,2273
2020-05-22,2020-05-03,AM,2431.8033766621825,2386
2020-05-22,2020-05-04,AM,2545.2119990937244,2507
2020-05-22,2020-05-05,AM,2663.705500029855,2619
2020-05-22,2020-05-06,AM,2787.502396133798,2782
2020-05-22,2020-05-07,AM,2916.8301710780124,2884
2020-05-22,2020-05-08,AM,3051.9256253342046,3029
2020-05-22,2020-05-09,AM,3193.035238861239,3175
2020-05-22,2020-05-10,AM,3340.415547137041,3313
2020-05-22,2020-05-11,AM,3494.333530995255,3392
2020-05-22,2020-05-12,AM,3655.0670207420876,3538
2020-05-22,2020-05-13,AM,3822.9051150438063,3718
2020-05-22,2020-05-14,AM,3998.1486150914975,3860
2020-05-22,2020-05-15,AM,4181.110474565072,4044
2020-05-22,2020-05-16,AM,4372.116265935871,4283
2020-05-22,2020-05-17,AM,4571.504663663658,4472
2020-05-22,2020-05-18,AM,4779.62794486173,4823
2020-05-22,2020-05-19,AM,4996.852508021872,5041
2020-05-22,2020-05-20,AM,5223.559410409024,5271
2020-05-22,2020-05-21,AM,5460.144924755616,5606
2020-05-22,2020-05-22,AM,5707.021115904255,5928
2020-05-22,2020-05-23,AM,5964.616438067876,
2020-05-22,2020-05-24,AM,6233.376353397816,
2020-05-22,2020-05-25,AM,6513.763972571127,
2020-05-22,2020-05-26,AM,6806.260718130212,
2020-05-22,2020-05-27,AM,7111.3670113315375,
2020-05-22,2020-05-28,AM,7429.602983282153,
2020-05-22,2020-05-29,AM,7761.509211167591,
2020-05-22,2020-04-25,AO,26.791286879325472,25
2020-05-22,2020-04-26,AO,27.56688970371546,26
2020-05-22,2020-04-27,AO,28.364754866440524,27
2020-05-22,2020-04-28,AO,29.185515836947975,27
2020-05-22,2020-04-29,AO,30.029823951188213,27
2020-05-22,2020-04-30,AO,30.89834891101153,27
2020-05-22,2020-05-01,AO,31.79177929739702,29
2020-05-22,2020-05-02,AO,32.710823097891485,35
2020-05-22,2020-05-03,AO,33.6562082486487,35
2020-05-22,2020-05-04,AO,34.62868319147261,35
2020-05-22,2020-05-05,AO,35.62901744627031,36
2020-05-22,2020-05-06,AO,36.6580021993439,36
2020-05-22,2020-05-07,AO,37.716450907945855,36
2020-05-22,2020-05-08,AO,38.805199921558305,43
2020-05-22,2020-05-09,AO,39.92510912033625,43
2020-05-22,2020-05-10,AO,41.07706257119689,45
2020-05-22,2020-05-11,AO,42.26196920203779,45
2020-05-22,2020-05-12,AO,43.48076349457536,45
2020-05-22,2020-05-13,AO,44.73440619631318,45
2020-05-22,2020-05-14,AO,46.02388505216906,48
2020-05-22,2020-05-15,AO,47.35021555629188,48
2020-05-22,2020-05-16,AO,48.714441724623775,48
2020-05-22,2020-05-17,AO,50.11763688877835,48
2020-05-22,2020-05-18,AO,51.56090451180517,48
2020-05-22,2020-05-19,AO,53.04537902645644,50
2020-05-22,2020-05-20,AO,54.57222669655151,52
2020-05-22,2020-05-21,AO,56.14264650208737,58
2020-05-22,2020-05-22,AO,57.75787104872761,60
2020-05-22,2020-05-23,AO,59.419167502349936,
2020-05-22,2020-05-24,AO,61.127838549327016,
2020-05-22,2020-05-25,AO,62.88522338323753,
2020-05-22,2020-05-26,AO,64.69269871874931,
2020-05-22,2020-05-27,AO,66.55167983338673,
