Date,Key,CountryCode,CountryName,RegionCode,RegionName,Confirmed,Deaths,Latitude,Longitude,Population,Region
2020-01-27,CN,CN,China,HI,Hainan,31,1,19.195900,109.745300,,Hainan
2020-01-27,CN,CN,China,HL,Heilongjiang,21,1,47.862000,127.761500,,Heilongjiang
2020-01-27,CN,CN,China,HN,Hunan,100,0,27.610400,111.708800,,Hunan
2020-01-27,CN,CN,China,JL,Jilin,6,0,43.666100,126.192300,,Jilin
2020-01-27,CN,CN,China,JS,Jiangsu,47,0,32.971100,119.455000,,Jiangsu
2020-01-27,CN,CN,China,JX,Jiangxi,48,0,27.614000,115.722100,,Jiangxi
2020-01-27,CN,CN,China,LN,Liaoning,24,0,41.295600,122.608500,,Liaoning
2020-01-27,CN,CN,China,NX,Ningxia,7,0,37.269200,106.165500,,Ningxia
2020-01-27,CN,CN,China,QH,Qinghai,4,0,35.745200,95.995600,,Qinghai
2020-01-27,CN,CN,China,SC,Sichuan,69,0,30.617100,102.710300,,Sichuan
2020-01-27,CN,CN,China,SD,Shandong,75,0,36.342700,118.149800,,Shandong
2020-01-27,CN,CN,China,SH,Shanghai,53,1,31.202000,121.449100,,Shanghai
2020-01-27,CN,CN,China,SN,Shaanxi,35,0,35.191700,108.870100,,Shaanxi
2020-01-27,CN,CN,China,SX,Shanxi,13,0,37.577700,112.292200,,Shanxi
2020-01-27,CN,CN,China,TJ,Tianjin,18,0,39.305400,117.323000,,Tianjin
2020-01-27,CN,CN,China,XJ,Xinjiang,5,0,41.112900,85.240100,,Xinjiang
2020-01-27,CN,CN,China,YN,Yunnan,19,0,24.974000,101.487000,,Yunnan
2020-01-27,CN,CN,China,ZJ,Zhejiang,128,0,29.183200,120.093400,,Zhejiang
2020-01-28,CN,CN,China,,,4528,106,35.861660,104.195397,1433783686,
2020-01-28,CN,CN,China,AH,Anhui,106,0,31.825700,117.226400,,Anhui
2020-01-28,CN,CN,China,BJ,Beijing,91,1,40.182400,116.414200,,Beijing
2020-01-28,CN,CN,China,CQ,Chongqing,132,0,30.057200,107.874000,,Chongqing
2020-01-28,CN,CN,China,FJ,Fujian,73,0,26.078900,117.987400,,Fujian
2020-01-28,CN,CN,China,GD,Guangdong,188,0,23.341700,113.424400,,Guangdong
2020-01-28,CN,CN,China,GS,Gansu,19,0,37.809900,101.058300,,Gansu
2020-01-28,CN,CN,China,GX,Guangxi,51,0,23.829800,108.788100,,Guangxi
2020-01-28,CN,CN,China,GZ,Guizhou,9,0,26.815400,106.874800,,Guizhou
2020-01-28,CN,CN,China,HA,Henan,168,1,33.882000,113.614000,,Henan
2020-01-28,CN,CN,China,HB,Hubei,2714,100,30.975600,112.270700,,Hubei
2020-01-28,CN,CN,China,HE,Hebei,33,1,39.549000,116.130600,,Hebei
2020-01-28,CN,CN,China,HI,Hainan,40,1,19.195900,109.745300,,Hainan
2020-01-28,CN,CN,China,HL,Heilongjiang,30,1,47.862000,127.761500,,Heilongjiang
2020-01-28,CN,CN,China,HN,Hunan,143,0,27.610400,111.708800,,Hunan
2020-01-28,CN,CN,China,JL,Jilin,8,0,43.666100,126.192300,,Jilin
2020-01-28,CN,CN,China,JS,Jiangsu,70,0,32.971100,119.455000,,Jiangsu
2020-01-28,CN,CN,China,JX,Jiangxi,72,0,27.614000,115.722100,,Jiangxi
2020-01-28,CN,CN,China,LN,Liaoning,30,0,41.295600,122.608500,,Liaoning
2020-01-28,CN,CN,China,NX,Ningxia,11,0,37.269200,106.165500,,Ningxia
2020-01-28,CN,CN,China,QH,Qinghai,6,0,35.745200,95.995600,,Qinghai
2020-01-28,CN,CN,China,SC,Sichuan,90,0,30.617100,102.710300,,Sichuan
2020-01-28,CN,CN,China,SD,Shandong,95,0,36.342700,118.149800,,Shandong
2020-01-28,CN,CN,China,SH,Shanghai,66,1,31.202000,121.449100,,Shanghai
2020-01-28,CN,CN,China,SN,Shaanxi,46,0,35.191700,108.870100,,Shaanxi
2020-01-28,CN,CN,China,SX,Shanxi,20,0,37.577700,112.292200,,Shanxi
2020-01-28,CN,CN,China,TJ,Tianjin,24,0,39.305400,117.323000,,Tianjin
2020-01-28,CN,CN,China,XJ,Xinjiang,10,0,41.112900,85.240100,,Xinjiang
2020-01-28,CN,CN,China,YN,Yunnan,44,0,24.974000,101.487000,,Yunnan
2020-01-28,CN,CN,China,ZJ,Zhejiang,173,0,29.183200,120.093400,,Zhejiang
2020-01-29,CN,CN,China,,,5994,132,35.861660,104.195397,1433783686,
2020-01-29,CN,CN,China,AH,Anhui,152,0,31.825700,117.226400,,Anhui
2020-01-29,CN,CN,China,BJ,Beijing,102,1,40.182400,116.414200,,Beijing
2020-01-29,CN,CN,China,CQ,Chongqing,147,0,30.057200,107.874000,,Chongqing
2020-01-29,CN,CN,China,FJ,Fujian,84,0,26.078900,117.987400,,Fujian
2020-01-29,CN,CN,China,GD,Guangdong,272,0,23.341700,113.424400,,Guangdong
2020-01-29,CN,CN,China,GS,Gansu,24,0,37.809900,101.058300,,Gansu
2020-01-29,CN,CN,China,GX,Guangxi,58,0,23.829800,108.788100,,Guangxi
2020-01-29,CN,CN,China,GZ,Guizhou,9,0,26.815400,106.874800,,Guizhou
2020-01-29,CN,CN,China,HA,Henan,206,2,33.882000,113.614000,,Henan
2020-01-29,CN,CN,China,HB,Hubei,3554,125,30.975600,112.270700,,Hubei
2020-01-29,CN,CN,China,HE,Hebei,48,1,39.549000,116.130600,,Hebei
2020-01-29,CN,CN,China,HI,Hainan,43,1,19.195900,109.745300,,Hainan
2020-01-29,CN,CN,China,HL,Heilongjiang,38,1,47.862000,127.761500,,Heilongjiang
2020-01-29,CN,CN,China,HN,Hunan,221,0,27.610400,111.708800,,Hunan
2020-01-29,CN,CN,China,JL,Jilin,9,0,43.666100,126.192300,,Jilin
2020-01-29,CN,CN,China,JS,Jiangsu,99,0,32.971100,119.455000,,Jiangsu
2020-01-29,CN,CN,China,JX,Jiangxi,109,0,27.614000,115.722100,,Jiangxi
2020-01-29,CN,CN,China,LN,Liaoning,38,0,41.295600,122.608500,,Liaoning
2020-01-29,CN,CN,China,NX,Ningxia,12,0,37.269200,106.165500,,Ningxia
2020-01-29,CN,CN,China,SC,Sichuan,108,0,30.617100,102.710300,,Sichuan
2020-01-29,CN,CN,China,SD,Shandong,130,0,36.342700,118.149800,,Shandong
2020-01-29,CN,CN,China,SH,Shanghai,96,1,31.202000,121.449100,,Shanghai
2020-01-29,CN,CN,China,SN,Shaanxi,56,0,35.191700,108.870100,,Shaanxi
2020-01-29,CN,CN,China,SX,Shanxi,27,0,37.577700,112.292200,,Shanxi
2020-01-29,CN,CN,China,TJ,Tianjin,27,0,39.305400,117.323000,,Tianjin
2020-01-29,CN,CN,China,XJ,Xinjiang,13,0,41.112900,85.240100,,Xinjiang
2020-01-29,CN,CN,China,YN,Yunnan,55,0,24.974000,101.487000,,Yunnan
2020-01-29,CN,CN,China,ZJ,Zhejiang,296,0,29.183200,120.093400,,Zhejiang
2020-01-30,CN,CN,China,,,7734,170,35.861660,104.195397,1433783686,
2020-01-30,CN,CN,China,AH,Anhui,200,0,31.825700,117.226400,,Anhui
2020-01-30,CN,CN,China,BJ,Beijing,114,1,40.182400,116.414200,,Beijing
2020-01-30,CN,CN,China,CQ,Chongqing,182,0,30.057200,107.874000,,Chongqing
2020-01-30,CN,CN,China,FJ,Fujian,101,0,26.078900,117.987400,,Fujian
