date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-05-19,GB_ENG_E06000026,2,,,,353,,,
2020-05-19,GB_ENG_E06000030,4,,,,446,,,
2020-05-19,GB_ENG_E06000031,4,,,,389,,,
2020-05-19,GB_ENG_E06000032,17,,,,716,,,
2020-05-19,GB_ENG_E06000034,1,,,,323,,,
2020-05-19,GB_ENG_E06000035,5,,,,749,,,
2020-05-19,GB_ENG_E06000036,7,,,,247,,,
2020-05-19,GB_ENG_E06000037,4,,,,368,,,
2020-05-19,GB_ENG_E06000038,5,,,,574,,,
2020-05-19,GB_ENG_E06000040,1,,,,281,,,
2020-05-19,GB_ENG_E06000041,1,,,,440,,,
2020-05-19,GB_ENG_E06000042,1,,,,508,,,
2020-05-19,GB_ENG_E06000043,2,,,,413,,,
2020-05-19,GB_ENG_E06000045,2,,,,571,,,
2020-05-19,GB_ENG_E06000046,2,,,,187,,,
2020-05-19,GB_ENG_E06000047,14,,,,1901,,,
2020-05-19,GB_ENG_E06000049,15,,,,1156,,,
2020-05-19,GB_ENG_E06000050,20,,,,1065,,,
2020-05-19,GB_ENG_E06000051,16,,,,762,,,
2020-05-19,GB_ENG_E06000052,3,,,,567,,,
2020-05-19,GB_ENG_E06000054,3,,,,516,,,
2020-05-19,GB_ENG_E06000055,10,,,,607,,,
2020-05-19,GB_ENG_E06000056,8,,,,618,,,
2020-05-19,GB_ENG_E06000057,1,,,,920,,,
2020-05-19,GB_ENG_E06000058,4,,,,469,,,
2020-05-19,GB_ENG_E06000059,1,,,,355,,,
2020-05-19,GB_ENG_E08000001,10,,,,989,,,
2020-05-19,GB_ENG_E08000002,19,,,,712,,,
2020-05-19,GB_ENG_E08000003,23,,,,1499,,,
2020-05-19,GB_ENG_E08000004,6,,,,1029,,,
2020-05-19,GB_ENG_E08000005,8,,,,752,,,
2020-05-19,GB_ENG_E08000006,6,,,,909,,,
2020-05-19,GB_ENG_E08000007,6,,,,1033,,,
2020-05-19,GB_ENG_E08000008,14,,,,667,,,
2020-05-19,GB_ENG_E08000009,12,,,,785,,,
2020-05-19,GB_ENG_E08000010,4,,,,1134,,,
2020-05-19,GB_ENG_E08000011,5,,,,658,,,
2020-05-19,GB_ENG_E08000012,8,,,,1577,,,
2020-05-19,GB_ENG_E08000013,4,,,,747,,,
2020-05-19,GB_ENG_E08000014,4,,,,902,,,
2020-05-19,GB_ENG_E08000015,13,,,,1218,,,
2020-05-19,GB_ENG_E08000016,5,,,,904,,,
2020-05-19,GB_ENG_E08000017,1,,,,737,,,
2020-05-19,GB_ENG_E08000018,12,,,,908,,,
2020-05-19,GB_ENG_E08000019,7,,,,2505,,,
2020-05-19,GB_ENG_E08000021,4,,,,1033,,,
2020-05-19,GB_ENG_E08000022,2,,,,558,,,
2020-05-19,GB_ENG_E08000024,2,,,,1365,,,
2020-05-19,GB_ENG_E08000025,28,,,,3380,,,
2020-05-19,GB_ENG_E08000026,6,,,,794,,,
2020-05-19,GB_ENG_E08000027,9,,,,935,,,
2020-05-19,GB_ENG_E08000028,30,,,,1271,,,
2020-05-19,GB_ENG_E08000029,2,,,,659,,,
2020-05-19,GB_ENG_E08000030,5,,,,1115,,,
2020-05-19,GB_ENG_E08000031,1,,,,983,,,
2020-05-19,GB_ENG_E08000032,16,,,,1251,,,
2020-05-19,GB_ENG_E08000033,3,,,,288,,,
2020-05-19,GB_ENG_E08000034,7,,,,706,,,
2020-05-19,GB_ENG_E08000035,6,,,,1762,,,
2020-05-19,GB_ENG_E08000036,7,,,,709,,,
2020-05-19,GB_ENG_E08000037,2,,,,989,,,
2020-05-19,GB_ENG_E09000002,1,,,,493,,,
2020-05-19,GB_ENG_E09000003,4,,,,1282,,,
2020-05-19,GB_ENG_E09000004,1,,,,702,,,
2020-05-19,GB_ENG_E09000005,8,,,,1455,,,
2020-05-19,GB_ENG_E09000006,3,,,,1266,,,
2020-05-19,GB_ENG_E09000007,1,,,,621,,,
2020-05-19,GB_ENG_E09000008,1,,,,1493,,,
2020-05-19,GB_ENG_E09000009,1,,,,1189,,,
2020-05-19,GB_ENG_E09000010,2,,,,880,,,
2020-05-19,GB_ENG_E09000011,4,,,,691,,,
2020-05-19,GB_ENG_E09000012,1,,,,644,,,
2020-05-19,GB_ENG_E09000015,1,,,,1021,,,
