key,date,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
IT_72,2020-05-21,-9,321,330,-3,9,12,,,
IT_75,2020-05-21,-7,256,263,-1,20,21,,,
IT_77,2020-05-21,-7,16,23,0,1,1,,,
IT_78,2020-05-21,-2,48,50,0,1,1,,,
IT_82,2020-05-21,-11,118,129,0,11,11,,,
IT_88,2020-05-21,-2,76,78,2,12,10,,,
IT_BZ,2020-05-21,7,55,,0,5,,,,
IT_TN,2020-05-21,1,46,,0,6,,,,
JP,2020-05-19,,,3009,,,210,,,
NL,2020-05-20,,,0,,,,,,
NL_DR,2020-05-21,0,116,,,,,,,
NL_DR_0106,2020-05-21,0,12,,,,,,,
NL_DR_0109,2020-05-21,0,13,,,,,,,
NL_DR_0114,2020-05-21,0,20,,,,,,,
NL_DR_0118,2020-05-21,0,19,,,,,,,
NL_DR_0119,2020-05-21,0,8,,,,,,,
NL_DR_1680,2020-05-21,0,1,,,,,,,
NL_DR_1681,2020-05-21,0,4,,,,,,,
NL_DR_1690,2020-05-21,0,11,,,,,,,
NL_DR_1699,2020-05-21,0,4,,,,,,,
NL_DR_1701,2020-05-21,0,9,,,,,,,
NL_DR_1730,2020-05-21,0,9,,,,,,,
NL_DR_1731,2020-05-21,0,6,,,,,,,
NL_FL,2020-05-21,0,263,,,,,,,
NL_FL_0034,2020-05-21,0,123,,,,,,,
NL_FL_0050,2020-05-21,0,12,,,,,,,
NL_FL_0171,2020-05-21,0,14,,,,,,,
NL_FL_0184,2020-05-21,0,22,,,,,,,
NL_FL_0303,2020-05-21,0,29,,,,,,,
NL_FL_0995,2020-05-21,0,63,,,,,,,
NL_FR,2020-05-21,0,128,,,,,,,
NL_FR_0059,2020-05-21,0,0,,,,,,,
NL_FR_0060,2020-05-21,0,0,,,,,,,
NL_FR_0072,2020-05-21,0,4,,,,,,,
NL_FR_0074,2020-05-21,0,13,,,,,,,
NL_FR_0080,2020-05-21,0,33,,,,,,,
NL_FR_0085,2020-05-21,0,3,,,,,,,
NL_FR_0086,2020-05-21,0,7,,,,,,,
NL_FR_0088,2020-05-21,0,0,,,,,,,
NL_FR_0090,2020-05-21,0,9,,,,,,,
NL_FR_0093,2020-05-21,0,0,,,,,,,
NL_FR_0096,2020-05-21,0,0,,,,,,,
NL_FR_0098,2020-05-21,0,3,,,,,,,
NL_FR_0737,2020-05-21,0,4,,,,,,,
NL_FR_1891,2020-05-21,0,2,,,,,,,
NL_FR_1900,2020-05-21,0,17,,,,,,,
NL_FR_1940,2020-05-21,0,16,,,,,,,
NL_FR_1949,2020-05-21,0,11,,,,,,,
