key,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
CN_GS,2020-04-17,0,0,1,,139,2,137,
CN_GX,2020-04-02,0,0,2,,254,2,252,
CN_GZ,2020-04-19,1,0,1,,147,2,145,
CN_HA,2020-04-14,0,0,1,,1276,22,1254,
CN_HB,2020-05-27,0,0,1,,68135,4512,63618,
CN_HE,2020-05-18,0,0,1,,328,6,322,
CN_HI,2020-05-16,1,0,0,,169,6,162,
CN_HK,2020-05-29,0,0,1,,1066,4,1035,
CN_HL,2020-05-17,0,0,1,,945,13,932,
CN_HN,2020-04-18,0,0,1,,1019,4,1015,
CN_JL,2020-05-28,0,0,8,,155,2,136,
CN_JS,2020-05-11,0,0,1,,653,0,653,
CN_JX,2020-04-10,0,0,1,,937,1,936,
CN_LN,2020-05-26,0,0,2,,149,2,147,
CN_MO,2020-05-20,0,0,1,,45,0,45,
CN_NM,2020-05-27,0,0,1,,232,1,205,
CN_NX,2020-03-16,0,0,2,,75,0,75,
CN_QH,2020-02-24,0,0,0,,18,0,18,
CN_SC,2020-05-25,1,0,0,,564,3,558,
CN_SD,2020-05-16,0,0,2,,788,7,780,
CN_SH,2020-05-28,1,0,0,,671,7,655,
CN_SN,2020-05-24,0,0,1,,308,3,305,
CN_SX,2020-05-13,0,0,1,,198,0,198,
CN_TJ,2020-05-25,0,0,1,,192,3,188,
CN_TW,2020-05-28,0,0,4,,441,7,420,
CN_XJ,2020-03-08,0,0,1,,76,3,73,
CN_XZ,2020-02-24,0,0,0,,1,0,1,
CN_YN,2020-05-10,0,0,1,,185,2,183,
CN_ZJ,2020-05-05,0,0,2,,1268,1,1267,
CO,2020-05-27,1101,27,,8070,24104,803,,260812
CO_05_05001,2020-05-27,17,0,0,,487,3,257,
CO_05_05030,2020-04-18,1,0,0,,1,0,0,
CO_05_05034,2020-04-15,1,0,0,,1,0,0,
CO_05_05038,2020-05-09,0,0,1,,1,0,1,
CO_05_05045,2020-05-27,1,0,0,,22,0,4,
CO_05_05079,2020-04-23,1,0,0,,1,0,0,
CO_05_05088,2020-05-27,2,0,0,,57,1,41,
CO_05_05129,2020-04-25,0,0,1,,3,0,3,
CO_05_05147,2020-05-26,2,0,0,,50,0,0,
