key,date,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
FR_GES,2020-05-13,-49,-12,-26,-53,-41,16
FR_HDF,2020-05-13,-43,-9,-10,-53,-42,14
FR_IDF,2020-05-13,-59,-8,-54,-57,-59,23
FR_NAQ,2020-05-13,-47,-11,-25,-46,-39,15
FR_NOR,2020-05-13,-43,-7,-14,-52,-38,14
FR_OCC,2020-05-13,-48,-11,-29,-47,-43,16
FR_PAC,2020-05-13,-48,-10,-33,-48,-42,15
FR_PDL,2020-05-13,-46,-11,5,-52,-41,15
GA,2020-05-13,-28,-21,-14,-35,-25,21
GB,2020-05-13,-68,-23,6,-62,-61,25
GE,2020-05-13,-54,-30,-18,-49,-50,15
GH,2020-05-13,-20,-8,-16,-23,-18,14
GR,2020-05-13,-34,6,70,-32,-29,10
GT,2020-05-13,-52,-38,-44,-65,-41,24
GW,2020-05-13,-64,-17,-27,,-29,
HK,2020-05-13,-19,-3,-16,-25,-7,11
HN,2020-05-13,-65,-41,-43,-67,-52,23
HR,2020-05-13,-18,-6,22,-42,-30,9
HT,2020-05-13,-30,-27,-18,-47,-31,9
HU,2020-05-13,-33,-11,-6,-44,-37,15
ID,2020-05-13,-37,-12,-32,-54,-34,17
ID_AC,2020-05-13,-25,-9,-28,-51,-23,10
ID_BA,2020-05-13,-44,-32,-60,-77,-40,20
ID_BB,2020-05-13,-25,-1,-25,-64,-25,13
ID_BE,2020-05-13,-24,-8,-34,-55,-28,13
ID_BT,2020-05-13,-32,-11,-27,-65,-36,20
ID_GO,2020-05-13,-38,-21,-18,-58,-34,20
ID_JA,2020-05-13,-29,-13,-25,-57,-27,13
ID_JB,2020-05-13,-55,-6,-26,-48,-38,19
ID_JI,2020-05-13,-25,-8,-29,-52,-31,16
ID_JK,2020-05-13,-54,-22,-94,-63,-48,24
ID_JT,2020-05-13,-18,-3,-22,-47,-29,14
ID_KB,2020-05-13,-42,-18,-26,-53,-27,13
ID_KI,2020-05-13,-30,-8,-20,-56,-26,14
ID_KR,2020-05-13,-36,-17,-34,-70,-24,17
ID_KS,2020-05-13,-34,-16,-34,-58,-28,15
ID_KT,2020-05-13,-37,-20,-33,-50,-25,13
ID_KU,2020-05-13,-33,-6,-27,-48,-24,13
ID_LA,2020-05-13,-23,-2,-21,-43,-30,13
ID_MA,2020-05-13,-35,-17,-18,-63,-27,14
ID_MU,2020-05-13,-29,-1,-21,-33,-24,12
ID_NB,2020-05-13,-29,-13,-35,-59,-26,15
ID_NT,2020-05-13,-35,-20,-16,-60,-20,13
ID_PA,2020-05-13,-42,-26,-27,-54,-26,16
ID_PB,2020-05-13,-30,-16,-30,-64,-25,15
ID_RI,2020-05-13,-32,-16,-14,-54,-27,13
ID_SA,2020-05-13,-44,-22,-26,-64,-30,16
ID_SB,2020-05-13,-34,-8,-34,-52,-35,16
ID_SN,2020-05-13,-44,-19,-26,-68,-37,18
ID_SR,2020-05-13,-28,-16,-56,-51,-26,15
ID_SS,2020-05-13,-31,-13,-18,-46,-29,14
ID_ST,2020-05-13,-29,-10,-8,-58,-21,13
ID_SU,2020-05-13,-31,-14,-31,-48,-28,14
IE,2020-05-13,-68,-13,-8,-58,-60,26
IL,2020-05-13,-37,1,15,-25,-29,15
IN,2020-05-13,-77,-26,-58,-53,-49,23
IN_AN,2020-05-13,-86,-79,-74,-74,-37,23
IN_AP,2020-05-13,-78,-27,-57,-48,-39,22
IN_AR,2020-05-13,-60,-10,-11,-41,-12,7
IN_AS,2020-05-13,-74,-23,-20,-47,-25,15
IN_BR,2020-05-13,-71,1,-8,-47,-23,11
IN_CH,2020-05-13,-85,-62,-97,-69,-61,29
IN_CT,2020-05-13,-68,3,-56,-50,-23,14
IN_DD,2020-05-13,-76,-33,-81,-43,-26,21
IN_DL,2020-05-13,-82,-50,-94,-73,-70,30
IN_DN,2020-05-13,-61,18,-57,-62,-22,17
IN_GA,2020-05-13,-69,-24,-70,-36,-31,15
IN_GJ,2020-05-13,-85,-52,-67,-57,-59,30
