key,date,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
US_MT_30089,2020-05-15,,,,-60,-24,,,-28,
US_MT_30093,2020-05-24,49.77,,,-4,3,,8,-21,9
US_MT_30095,2020-05-16,,,,-47,,,35,-17,
US_MT_30099,2020-05-13,,,,,,,,-25,
US_MT_30105,2020-05-15,,,,-68,,,,-10,
US_MT_30111,2020-05-24,36.65,,,-8,14,106,-3,-13,2
US_NC,2020-05-24,8.63,,,-25,1,90,-26,-23,6
US_NC_37001,2020-05-24,7.01,,,-29,1,66,-5,-21,6
US_NC_37003,2020-05-24,21.62,,,-10,8,,,-13,10
US_NC_37005,2020-05-15,,,,-29,-5,,,-24,
US_NC_37007,2020-05-24,101.48,,,-20,-1,,,-11,
US_NC_37009,2020-05-24,115.23,,,7,-2,,,-20,
US_NC_37011,2020-05-24,117.93,,,-57,1,,,-18,
US_NC_37013,2020-05-24,60.6,,,-4,20,77,,-12,10
US_NC_37015,2020-05-16,,,,-53,3,,,-17,
US_NC_37017,2020-05-24,84.01,,,1,17,-27,,-8,7
US_NC_37019,2020-05-24,130.75,,,0,18,93,-18,-15,5
US_NC_37021,2020-05-24,9.18,,,-41,-12,75,-39,-31,7
US_NC_37023,2020-05-24,58.37,,,-9,8,135,,-20,4
US_NC_37025,2020-05-24,8.31,,,-32,-4,26,-5,-23,6
US_NC_37027,2020-05-24,4.33,,,-3,13,0,,-12,3
US_NC_37029,2020-05-15,,,,-46,,,,-29,
US_NC_37031,2020-05-24,290.96,,,23,46,186,,-15,3
US_NC_37033,2020-05-24,32.86,,,-28,4,,,-18,
US_NC_37035,2020-05-24,4.79,,,-29,1,71,-19,-25,5
US_NC_37037,2020-05-24,20.78,,,-19,12,-6,,-21,15
US_NC_37039,2020-05-24,105.33,,,-1,8,,,-27,1
US_NC_37041,2020-05-16,,,,-13,-4,,,-10,
US_NC_37043,2020-05-15,,,,-54,-12,,,-29,
US_NC_37045,2020-05-24,17.15,,,-7,10,26,,-18,3
US_NC_37047,2020-05-24,101.98,,,1,17,,,-11,10
US_NC_37049,2020-05-24,58.89,,,-17,9,50,-15,-20,4
US_NC_37051,2020-05-24,23.11,,,-23,1,35,-15,-23,6
US_NC_37053,2020-05-24,486.75,,,-25,-9,,,-7,8
US_NC_37055,2020-05-24,655.05,,,24,48,133,,-9,7
US_NC_37057,2020-05-24,25.42,,,-11,8,71,12,-17,4
US_NC_37059,2020-05-24,8.19,,,-9,8,,4,-22,12
US_NC_37061,2020-05-24,84.11,,,-13,6,,3,-6,10
US_NC_37063,2020-05-24,-22.96,,,-40,-12,16,-36,-31,9
US_NC_37065,2020-05-24,32.91,,,-3,16,,,-10,10
US_NC_37067,2020-05-24,-11.08,,,-27,-4,162,38,-26,6
US_NC_37069,2020-05-24,16.11,,,-12,14,,,-15,12
US_NC_37071,2020-05-24,9.17,,,-17,6,69,0,-21,5
US_NC_37073,2020-05-15,,,,,,,,-27,
US_NC_37075,2020-05-15,,,,,,,,-24,
US_NC_37077,2020-05-24,17,,,-9,5,,,-21,13
US_NC_37079,2020-05-24,6.9,,,-41,3,-17,,-3,
US_NC_37081,2020-05-24,-6.78,,,-32,-2,73,-5,-26,6
US_NC_37083,2020-05-24,71.33,,,-9,9,,,-17,9
US_NC_37085,2020-05-24,30.25,,,-10,13,41,8,-16,5
US_NC_37087,2020-05-24,73.23,,,-10,11,51,24,-23,4
US_NC_37089,2020-05-24,26.44,,,-19,5,72,-8,-20,5
US_NC_37091,2020-05-24,-5.5,,,0,37,,,-10,
US_NC_37093,2020-05-24,46.7,,,-10,16,,,-27,11
US_NC_37097,2020-05-24,11.44,,,-21,8,139,5,-22,5
US_NC_37099,2020-05-24,67.45,,,-22,9,-7,,-35,12
US_NC_37101,2020-05-24,19.68,,,-18,3,26,4,-20,5
US_NC_37103,2020-05-24,78.1,,,,-6,,,-27,
US_NC_37105,2020-05-24,4.13,,,-15,-7,,,-16,12
US_NC_37107,2020-05-24,26.55,,,-12,11,,,-12,10
US_NC_37109,2020-05-24,15.71,,,-6,12,-50,,-23,4
US_NC_37111,2020-05-24,69.23,,,7,18,15,1,-10,9
US_NC_37113,2020-05-24,108.18,,,-11,28,40,,-20,10
US_NC_37115,2020-05-24,77.77,,,-62,-12,,,-20,
US_NC_37117,2020-05-24,55.56,,,-11,-10,,,-10,
US_NC_37119,2020-05-24,-12.51,,,-39,-8,45,-53,-29,8
US_NC_37121,2020-05-16,,,,-33,-10,,,-7,
US_NC_37123,2020-05-24,132.29,,,5,4,-8,1,-9,-1
US_NC_37125,2020-05-24,20.78,,,-30,4,27,,-24,6
US_NC_37127,2020-05-24,41.75,,,-16,7,-39,16,-21,4
US_NC_37129,2020-05-24,51.41,,,-28,4,81,-43,-23,6
US_NC_37131,2020-05-24,149.62,,,-67,21,,,-3,
US_NC_37133,2020-05-24,65.13,,,-16,17,92,-43,-16,3
US_NC_37135,2020-05-24,-21.36,,,-47,-23,43,-41,-32,9
US_NC_37137,2020-05-15,,,,-23,9,,,-22,
US_NC_37139,2020-05-24,7.39,,,-12,2,,-24,-12,11
US_NC_37141,2020-05-24,152.93,,,17,28,,,-14,11
US_NC_37143,2020-05-15,,,,-53,-2,,,-27,
US_NC_37145,2020-05-24,46.85,,,-17,14,,,-22,11
US_NC_37147,2020-05-24,-6.54,,,-30,-5,35,-8,-19,5
US_NC_37149,2020-05-24,86.54,,,-48,-19,-37,,-21,
US_NC_37151,2020-05-24,19.95,,,-24,9,-6,,-15,4
US_NC_37153,2020-05-24,106.43,,,6,17,,,-17,9
US_NC_37155,2020-05-24,43.59,,,-12,6,-16,-12,-18,4
US_NC_37157,2020-05-24,19.82,,,-2,15,-13,-3,-19,4
US_NC_37159,2020-05-24,18.15,,,-18,12,54,-7,-19,4
US_NC_37161,2020-05-24,42.67,,,-8,10,39,,-16,4
US_NC_37163,2020-05-24,50.56,,,-8,12,,,-19,9
US_NC_37165,2020-05-24,56.97,,,1,11,,,-14,9
US_NC_37167,2020-05-24,33.31,,,-2,17,,,-18,8
US_NC_37169,2020-05-24,64.67,,,-15,26,-23,,-19,11
US_NC_37171,2020-05-24,32.74,,,-5,8,51,3,-17,8
US_NC_37173,2020-05-24,312.45,,,-6,0,109,,-40,
US_NC_37175,2020-05-24,99.65,,,7,5,-15,,-11,6
US_NC_37179,2020-05-24,-2.9,,,-20,-1,47,-10,-21,7
US_NC_37181,2020-05-24,68.05,,,-12,8,,,-24,11
US_NC_37183,2020-05-24,-15.81,,,-39,-12,58,-58,-27,9
US_NC_37185,2020-05-24,180.74,,,-4,7,,,-11,
US_NC_37187,2020-05-15,,,,-29,4,,,-17,
US_NC_37189,2020-05-24,11.86,,,-42,-5,2,,-34,12
US_NC_37191,2020-05-24,32.18,,,-20,6,73,7,-13,5
US_NC_37193,2020-05-24,33.73,,,-17,17,-35,,-21,10
US_NC_37195,2020-05-24,26.35,,,-15,10,-34,,-14,4
US_NC_37197,2020-05-24,30.74,,,-12,11,,,-19,10
US_NC_37199,2020-05-16,,,,-41,-5,,,-10,
US_ND,2020-05-24,12.12,,,-20,3,135,-18,-11,4
US_ND_38003,2020-05-15,,,,-34,,,,-19,
US_ND_38009,2020-05-13,,,,-34,,,,-34,
US_ND_38015,2020-05-24,25.39,,,-17,-1,-2,-33,-13,3
US_ND_38017,2020-05-24,-4.03,,,-31,-8,5,-14,-17,6
US_ND_38025,2020-05-16,,,,-56,-17,-19,,,
US_ND_38035,2020-05-24,-9.04,,,-35,5,-23,-18,-18,5
US_ND_38053,2020-05-24,-54.11,,,-48,-21,,-47,-28,
US_ND_38055,2020-05-15,,,,-63,,,,-16,
US_ND_38057,2020-05-15,,,,,6,,,-21,
US_ND_38059,2020-05-24,60.2,,,-7,6,,11,-14,10
US_ND_38061,2020-05-24,-9.89,,,-67,-25,,,-25,
US_ND_38067,2020-05-14,,,,,,,,-19,
US_ND_38071,2020-05-15,,,,-42,-16,,,-21,
US_ND_38073,2020-05-15,,,,,,,,-26,
US_ND_38077,2020-05-24,-0.72,,,-38,2,,,-15,
US_ND_38079,2020-05-15,,,,-33,,,,-31,
US_ND_38081,2020-04-16,,,,,,,,-40,
US_ND_38089,2020-05-24,38.56,,,-8,3,,,-8,12
US_ND_38093,2020-05-24,40.93,,,-2,-16,,,-10,
US_ND_38097,2020-05-15,,,,,,,,-29,
US_ND_38099,2020-05-15,,,,-33,,,,-14,
US_ND_38101,2020-05-24,45.49,,,-5,10,,-37,-6,2
US_ND_38105,2020-05-24,-18.71,,,-13,4,,-21,-22,10
US_NE,2020-05-24,14.61,,,-24,0,58,-5,-18,9
US_NE_31001,2020-05-24,0.8,,,-16,14,,,-11,11
US_NE_31003,2020-05-06,,,,,,,,-30,
US_NE_31013,2020-05-16,,,,-28,-2,,,-6,
US_NE_31019,2020-05-24,51.22,,,-35,-6,,7,-20,13
US_NE_31021,2020-05-15,,,,-58,,,,-23,
US_NE_31023,2020-05-15,,,,-55,,,,-27,
US_NE_31025,2020-05-24,63.65,,,-27,,-63,,-10,12
US_NE_31027,2020-05-15,,,,,,,,-25,
US_NE_31031,2020-05-13,,,,-68,,,,-29,
US_NE_31033,2020-05-16,,,,-29,-20,,35,-23,
US_NE_31035,2020-05-15,,,,,,,,-26,
US_NE_31037,2020-05-16,,,,-65,-8,,,-47,
US_NE_31039,2020-05-15,,,,-37,,,,-26,
US_NE_31041,2020-05-15,,,,-49,-11,,,-16,
US_NE_31043,2020-05-24,12.67,,,-23,49,,,-15,1
US_NE_31045,2020-05-15,,,,-38,,,,-27,
US_NE_31047,2020-05-24,122.18,,,-24,0,,,15,-2
US_NE_31049,2020-05-16,,,,,,,35,,
US_NE_31051,2020-05-15,,,,,,,,-26,
US_NE_31053,2020-05-24,25,,,-7,26,,4,-11,9
US_NE_31055,2020-05-24,0.24,,,-32,0,14,-27,-21,9
US_NE_31059,2020-05-15,,,,,,,,-21,
US_NE_31065,2020-04-29,,,,,,,,-36,
US_NE_31067,2020-05-24,32.85,,,-11,9,,,-13,1
US_NE_31079,2020-05-24,32.55,,,-33,-12,,9,-23,9
US_NE_31081,2020-05-16,,,,-58,,,32,-21,
US_NE_31089,2020-05-15,,,,-25,-4,,,-11,
US_NE_31093,2020-05-15,,,,,,,,-33,
US_NE_31095,2020-05-15,,,,-25,,,,-28,
US_NE_31097,2020-04-27,,,,,,,,-30,
US_NE_31099,2020-05-15,,,,,,,,-32,
US_NE_31101,2020-05-24,201.17,,,-36,-22,,51,-16,
US_NE_31105,2020-05-01,,,,,,,,-35,
US_NE_31107,2020-05-15,,,,,,,,-31,
US_NE_31109,2020-05-24,-1.92,,,-25,-7,98,-25,-18,8
US_NE_31111,2020-05-24,94.3,,,-5,8,,25,-12,10
US_NE_31119,2020-05-24,1.27,,,-19,-6,,,-17,9
US_NE_31121,2020-05-15,,,,-30,,,,-24,
US_NE_31123,2020-05-15,,,,,,,,-25,
US_NE_31127,2020-05-15,,,,-58,,,,-21,
US_NE_31131,2020-05-24,48.27,,,-21,51,,-17,-11,
US_NE_31137,2020-05-15,,,,-29,16,,,-31,
US_NE_31139,2020-05-15,,,,,,,,-25,
US_NE_31141,2020-05-24,18.44,,,-20,9,,1,-29,14
US_NE_31143,2020-05-15,,,,,,,,-20,
US_NE_31145,2020-05-16,,,,-24,,,,-12,
US_NE_31147,2020-05-15,,,,-36,-2,,,-10,
US_NE_31151,2020-05-16,,,,-23,14,,,-20,
US_NE_31153,2020-05-24,15.51,,,-23,-5,93,14,-16,9
US_NE_31155,2020-05-24,68.27,,,-35,20,,,-10,
US_NE_31157,2020-05-24,42.58,,,-6,6,,,-9,10
US_NE_31159,2020-05-24,23.73,,,-33,,,,-10,
US_NE_31167,2020-05-15,,,,,,,,-28,
US_NE_31169,2020-05-12,,,,,,,,-11,
US_NE_31173,2020-05-15,,,,,,,,-39,
US_NE_31177,2020-05-24,32.52,,,-25,-9,,,-10,
US_NE_31179,2020-05-15,,,,-39,,,,-32,
US_NE_31185,2020-05-24,40.34,,,-21,,,10,-19,
US_NH,2020-05-24,23.09,,,-25,-7,99,-22,-25,7
US_NH_33001,2020-05-24,120.84,,,0,13,5,,-19,16
US_NH_33003,2020-05-24,119.92,,,-25,-2,116,,-29,15
US_NH_33005,2020-05-24,50.44,,,-16,-1,-22,,-19,5
US_NH_33007,2020-05-24,95.78,,,-15,-7,45,,-23,10
US_NH_33009,2020-05-24,30.35,,,-32,-9,-6,-22,-32,9
US_NH_33011,2020-05-24,7.38,,,-35,-10,206,-40,-29,8
US_NH_33013,2020-05-24,8.1,,,-22,-11,62,-19,-24,6
US_NH_33015,2020-05-24,17.25,,,-25,-5,180,-48,-26,9
US_NH_33017,2020-05-24,18.88,,,-18,-15,24,-40,-23,6
US_NH_33019,2020-05-24,39.39,,,-3,7,,,-14,15
US_NJ,2020-05-24,-7.18,,,-45,-11,146,-49,-31,11
US_NJ_34001,2020-05-24,21.69,,,-50,-2,215,-52,-46,12
US_NJ_34003,2020-05-24,-23.3,,,-56,-15,149,-33,-40,14
US_NJ_34005,2020-05-24,-12.7,,,-45,-11,85,-28,-25,10
US_NJ_34007,2020-05-24,-8.7,,,-43,-6,59,-43,-27,10
US_NJ_34009,2020-05-24,368.07,,,39,54,112,7,-20,7
US_NJ_34011,2020-05-24,18.34,,,-21,-5,9,-26,-16,5
US_NJ_34013,2020-05-24,-21.94,,,-48,-12,93,-68,-30,12
US_NJ_34015,2020-05-24,-7.53,,,-40,-11,109,-7,-24,9
US_NJ_34017,2020-05-24,-14.62,,,-44,-15,71,-53,-38,13
US_NJ_34019,2020-05-24,2.1,,,-38,-2,21,-13,-28,12
US_NJ_34021,2020-05-24,-22.42,,,-49,-11,69,-62,-25,10
US_NJ_34023,2020-05-24,-18.48,,,-52,-18,100,-46,-31,13
US_NJ_34025,2020-05-24,14.55,,,-47,-5,353,-16,-29,11
US_NJ_34027,2020-05-24,-20.03,,,-52,-11,161,-32,-33,12
US_NJ_34029,2020-05-24,42.66,,,-35,2,179,-33,-24,9
US_NJ_34031,2020-05-24,-14.14,,,-50,-7,189,-15,-31,11
US_NJ_34033,2020-05-24,2.69,,,-22,-17,94,-36,-17,15
US_NJ_34035,2020-05-24,-19.66,,,-54,-17,133,-46,-31,13
US_NJ_34037,2020-05-24,33.78,,,-24,-2,102,-15,-24,10
US_NJ_34039,2020-05-24,-15.76,,,-43,-11,68,-33,-31,12
US_NJ_34041,2020-05-24,35.16,,,-21,-7,8,-9,-24,9
US_NM,2020-05-24,6.13,,,-31,-2,13,-22,-24,9
US_NM_35001,2020-05-24,-14.84,,,-35,-4,26,-33,-27,9
US_NM_35005,2020-05-24,27.67,,,-20,1,-13,-42,-15,6
US_NM_35006,2020-05-24,70.96,,,-30,32,,-17,-26,
US_NM_35007,2020-05-24,121.46,,,-64,-29,,-4,-30,
US_NM_35009,2020-05-24,10.6,,,-15,2,17,-28,-11,10
US_NM_35013,2020-05-24,6.3,,,-29,2,-39,-12,-22,9
US_NM_35015,2020-05-24,-29.41,,,-30,-7,-3,-43,-20,8
US_NM_35017,2020-05-24,57.3,,,-23,10,,,-17,2
US_NM_35019,2020-05-24,104.93,,,-44,-9,,1,-36,
US_NM_35023,2020-05-24,39.82,,,-54,,,-20,,
US_NM_35025,2020-05-24,-36.43,,,-32,-6,3,-51,-17,7
US_NM_35027,2020-05-24,206.24,,,-42,0,-53,,-25,
US_NM_35028,2020-05-16,,,,-49,-34,,,-34,
US_NM_35029,2020-05-24,31.6,,,-21,7,-24,-8,0,
US_NM_35031,2020-05-24,36.99,,,-59,-38,,-11,-28,17
US_NM_35035,2020-05-24,69.64,,,-16,4,-24,,-25,8
US_NM_35037,2020-05-24,116.78,,,-15,1,,-4,-22,
US_NM_35039,2020-05-24,113.11,,,2,23,,,-22,16
US_NM_35041,2020-05-24,3.24,,,-13,-17,,,-12,
US_NM_35043,2020-05-24,9.86,,,-19,4,47,-35,-29,9
US_NM_35045,2020-05-24,24.43,,,-44,-9,34,-54,-25,11
US_NM_35047,2020-05-24,77.73,,,-21,15,,-18,-20,-1
US_NM_35049,2020-05-24,5.09,,,-35,2,7,-16,-29,9
US_NM_35051,2020-05-16,,,,-39,4,,,-24,
US_NM_35053,2020-05-24,8.63,,,-25,-7,,,-28,
US_NM_35055,2020-05-24,91.72,,,-43,6,29,,-40,1
US_NM_35057,2020-05-24,72.76,,,-24,9,,-2,-12,
US_NM_35059,2020-05-16,,,,,,,1,,
US_NM_35061,2020-05-24,12.3,,,-11,25,4,-17,-20,8
US_NV,2020-05-24,-6.14,,,-36,-8,-37,-44,-41,11
US_NV_32001,2020-05-24,90.36,,,-4,-13,,,-19,5
US_NV_32003,2020-05-24,-10.35,,,-39,-10,-48,-48,-45,12
US_NV_32005,2020-05-24,18.5,,,-40,-11,-14,,-37,13
US_NV_32007,2020-05-24,85.78,,,-23,38,7,35,-23,10
US_NV_32013,2020-05-24,126.45,,,-22,2,,24,-12,
US_NV_32015,2020-05-14,,,,-57,-14,,,-41,
US_NV_32019,2020-05-24,76.89,,,2,12,,11,-24,5
US_NV_32021,2020-05-15,,,,,,,-5,,
US_NV_32023,2020-05-24,87.51,,,-4,-17,-50,-5,-27,9
US_NV_32027,2020-05-14,,,,,,,50,-20,
US_NV_32029,2020-05-14,,,,-67,,,,-32,
US_NV_32031,2020-05-24,-0.48,,,-32,-2,43,-45,-32,9
US_NV_32033,2020-05-16,,,,-57,-13,,29,-11,
US_NV_32510,2020-05-24,19.52,,,-15,-2,65,,-29,14
US_NY,2020-05-24,-16.64,,,-47,-9,73,-52,-33,11
US_NY_36001,2020-05-24,-22.33,,,-53,-14,21,-49,-27,7
US_NY_36003,2020-05-24,79.92,,,-24,7,,,-16,15
US_NY_36005,2020-05-24,-13.75,,,-43,-9,33,-31,-35,12
US_NY_36007,2020-05-24,18.16,,,-35,-1,154,-20,-25,7
US_NY_36009,2020-05-24,53.02,,,-26,12,5,,-29,4
US_NY_36011,2020-05-24,49.43,,,-23,14,,31,-15,5
US_NY_36013,2020-05-24,43.76,,,-23,11,-22,,-18,3
US_NY_36015,2020-05-24,4.4,,,-47,2,,-70,-14,6
US_NY_36017,2020-05-24,71.02,,,-32,0,,,-22,16
US_NY_36019,2020-05-24,19.37,,,-40,1,,-45,-18,16
US_NY_36021,2020-05-24,39.37,,,-34,11,,-10,-19,17
US_NY_36023,2020-05-24,16.15,,,-25,16,,-20,-19,18
US_NY_36025,2020-05-24,62.15,,,-17,26,,,-22,10
US_NY_36027,2020-05-24,8.87,,,-45,-3,81,-27,-27,10
US_NY_36029,2020-05-24,-7.77,,,-44,-5,168,-26,-30,8
US_NY_36031,2020-05-24,91.16,,,-45,-9,79,,-31,3
US_NY_36033,2020-05-24,57.72,,,-30,17,,,-19,17
US_NY_36035,2020-05-24,67.09,,,-14,3,,,-18,15
US_NY_36037,2020-05-24,12.36,,,-30,8,,-27,-20,17
US_NY_36039,2020-05-24,67.89,,,-6,19,12,,-25,16
US_NY_36043,2020-05-24,46.58,,,-12,13,,-32,-14,14
US_NY_36045,2020-05-24,71.06,,,-25,16,-27,,-20,4
US_NY_36047,2020-05-24,-21.12,,,-50,-12,88,-47,-37,13
US_NY_36049,2020-05-24,95.96,,,-51,-9,,,-9,
US_NY_36051,2020-05-24,59.74,,,-23,19,,-21,-18,18
US_NY_36053,2020-05-24,44.47,,,-11,10,,-34,-21,19
US_NY_36055,2020-05-24,-4.46,,,-44,-8,29,-22,-28,8
US_NY_36057,2020-05-24,19.5,,,-22,13,,-9,-16,15
US_NY_36059,2020-05-24,-20.6,,,-51,-12,196,-43,-33,13
US_NY_36061,2020-05-24,-66.18,,,-79,-32,-26,-71,-43,13
US_NY_36063,2020-05-24,22.3,,,-30,14,131,-28,-28,7
US_NY_36065,2020-05-24,13.32,,,-34,9,30,0,-25,6
US_NY_36067,2020-05-24,-7.8,,,-45,-5,208,-49,-29,8
US_NY_36069,2020-05-24,27.26,,,-38,4,69,-23,-23,5
US_NY_36071,2020-05-24,10.54,,,-41,-4,349,-18,-25,10
US_NY_36073,2020-05-24,86.04,,,6,22,,,-19,15
US_NY_36075,2020-05-24,56.44,,,-3,21,-7,-17,-19,5
US_NY_36077,2020-05-24,13.3,,,-19,16,,,-24,16
US_NY_36079,2020-05-24,19.6,,,-45,9,-56,-9,-32,24
US_NY_36081,2020-05-24,-27.31,,,-53,-10,154,-61,-45,16
US_NY_36083,2020-05-24,-0.16,,,-26,-25,35,-24,-24,6
US_NY_36085,2020-05-24,-13.84,,,-50,-12,58,-42,-31,12
US_NY_36087,2020-05-24,3.47,,,-52,-13,133,-33,-32,11
US_NY_36089,2020-05-24,28.32,,,-27,1,23,,-22,4
US_NY_36091,2020-05-24,17.93,,,-39,-8,190,-7,-27,4
US_NY_36093,2020-05-24,1.53,,,-35,-3,-3,-21,-24,7
US_NY_36095,2020-05-24,56.75,,,11,-4,,,-8,3
US_NY_36097,2020-05-24,239.08,,,-27,4,,,-15,
US_NY_36099,2020-05-24,51.39,,,-13,2,,-62,-20,13
US_NY_36101,2020-05-24,36.72,,,-24,15,-19,16,-21,5
US_NY_36103,2020-05-24,3.06,,,-40,-6,182,-40,-26,10
US_NY_36105,2020-05-24,76.21,,,-3,29,,,-23,8
US_NY_36107,2020-05-24,21.61,,,-24,11,,,-21,16
US_NY_36109,2020-05-24,49.82,,,-48,-2,2,-75,-34,25
US_NY_36111,2020-05-24,44.53,,,-28,7,144,-32,-23,8
US_NY_36113,2020-05-24,107.54,,,-27,-3,58,-41,-27,16
US_NY_36115,2020-05-24,45.67,,,3,11,,,-21,14
US_NY_36117,2020-05-24,47.49,,,-8,27,,,-17,5
US_NY_36119,2020-05-24,-14.29,,,-51,-11,32,-34,-30,12
US_NY_36121,2020-05-24,117.88,,,11,-8,,,-19,17
US_NY_36123,2020-05-24,184.15,,,-17,12,,,-11,
US_OH,2020-05-24,13.02,,,-22,2,192,-7,-21,6
US_OH_39001,2020-05-24,28.78,,,-14,32,,,-10,-2
US_OH_39003,2020-05-24,14.05,,,-22,7,15,14,-15,4
US_OH_39005,2020-05-24,67.34,,,0,16,,,-18,13
US_OH_39007,2020-05-24,110.8,,,7,24,17,0,-9,4
US_OH_39009,2020-05-24,-6.34,,,-35,0,,-26,-25,13
US_OH_39011,2020-05-24,44.29,,,-7,10,,-26,-16,14
US_OH_39013,2020-05-24,7.34,,,-22,4,,0,-14,12
US_OH_39015,2020-05-24,50.62,,,10,10,,,-12,13
US_OH_39017,2020-05-24,7.17,,,-26,2,188,-20,-23,7
US_OH_39019,2020-05-24,68.7,,,-37,24,,,-16,0
US_OH_39021,2020-05-24,14.47,,,-2,-3,,,-18,13
US_OH_39023,2020-05-24,22.88,,,-6,7,-20,7,-18,4
US_OH_39025,2020-05-24,14.29,,,-19,1,95,,-19,7
US_OH_39027,2020-05-24,30.57,,,-13,10,,60,-18,13
US_OH_39029,2020-05-24,21.97,,,-3,20,,,-22,5
US_OH_39031,2020-05-24,24.77,,,-4,23,,,-9,10
US_OH_39033,2020-05-24,16.35,,,-4,9,,,-19,13
US_OH_39035,2020-05-24,8.98,,,-31,-1,152,-19,-25,7
US_OH_39037,2020-05-24,11.31,,,-7,3,,,-4,12
US_OH_39039,2020-05-24,25.02,,,-9,10,,,-19,14
US_OH_39041,2020-05-24,26.62,,,-38,-5,92,2,-27,7
US_OH_39043,2020-05-24,88.54,,,-11,14,12,-3,-26,5
US_OH_39045,2020-05-24,40.2,,,-26,1,160,,-13,6
US_OH_39047,2020-05-24,37.99,,,-5,16,,7,-17,9
US_OH_39049,2020-05-24,-3.08,,,-30,-6,123,-30,-24,7
US_OH_39051,2020-05-24,40.03,,,-9,21,,-24,-10,14
US_OH_39053,2020-05-24,24.4,,,2,3,,7,-2,
US_OH_39055,2020-05-24,18.83,,,-16,3,-5,,-19,18
US_OH_39057,2020-05-24,19.93,,,-32,-2,37,,-23,6
US_OH_39059,2020-05-24,54.82,,,-4,11,,-7,-11,9
US_OH_39061,2020-05-24,-7.43,,,-29,-2,135,-12,-25,8
US_OH_39063,2020-05-24,11.18,,,-21,7,,-5,-23,5
US_OH_39065,2020-05-24,2.85,,,-5,3,,,-23,8
US_OH_39067,2020-05-16,,,,-2,5,,,-3,
US_OH_39069,2020-05-24,14.06,,,-7,2,,-5,-11,14
US_OH_39071,2020-05-24,58.34,,,9,11,,,-9,10
US_OH_39073,2020-05-24,206.35,,,8,-11,-19,,-16,-3
US_OH_39075,2020-05-24,11.97,,,2,-13,,,-12,-1
US_OH_39077,2020-05-24,44.07,,,-12,28,,,-12,3
US_OH_39079,2020-05-24,42.15,,,0,0,,-25,-15,-1
US_OH_39081,2020-05-24,6.63,,,-17,5,,-17,-20,11
US_OH_39083,2020-05-24,52.71,,,-2,17,,,-18,13
US_OH_39085,2020-05-24,38.87,,,-25,2,214,4,-20,6
US_OH_39087,2020-05-24,37.79,,,3,7,,,-17,10
US_OH_39089,2020-05-24,15.99,,,-14,8,70,-4,-17,5
US_OH_39091,2020-05-24,135.78,,,17,53,,,-28,13
US_OH_39093,2020-05-24,28.06,,,-14,9,244,-2,-18,5
US_OH_39095,2020-05-24,22.43,,,-27,1,168,7,-21,6
US_OH_39097,2020-05-24,15.77,,,-24,9,,1,-22,14
US_OH_39099,2020-05-24,17.83,,,-22,6,-4,-9,-22,5
US_OH_39101,2020-05-24,27.33,,,-5,11,,,-23,3
US_OH_39103,2020-05-24,22.06,,,-19,5,-27,-3,-17,6
US_OH_39105,2020-05-24,37.46,,,-29,,,,-16,
US_OH_39107,2020-05-24,57.67,,,-30,36,,,-16,14
US_OH_39109,2020-05-24,15.13,,,-12,12,47,,-22,5
US_OH_39111,2020-05-15,,,,-57,-6,,,-29,
US_OH_39113,2020-05-24,14.7,,,-25,-1,112,5,-23,6
US_OH_39115,2020-05-15,,,,-22,20,,,-27,
US_OH_39117,2020-05-24,59.08,,,-45,-6,,3,-10,14
US_OH_39119,2020-05-24,29.4,,,-12,15,,7,-11,4
US_OH_39121,2020-05-15,,,,-53,9,,0,-25,
US_OH_39123,2020-05-24,372.92,,,83,16,,,-7,14
US_OH_39125,2020-05-24,14.62,,,11,13,,,-15,
US_OH_39127,2020-05-24,52.42,,,-5,27,,,-11,6
US_OH_39129,2020-05-24,21.8,,,2,7,,2,-12,13
US_OH_39131,2020-05-24,30.73,,,-5,6,,,-10,
US_OH_39133,2020-05-24,10.15,,,-15,6,14,-5,-21,6
US_OH_39135,2020-05-24,46.73,,,-2,4,,29,-16,13
US_OH_39137,2020-05-24,2.56,,,-21,9,,,-24,14
US_OH_39139,2020-05-24,19.17,,,-20,4,,8,-23,3
US_OH_39141,2020-05-24,31.74,,,-12,32,-28,41,-11,3
US_OH_39143,2020-05-24,29.53,,,-1,13,,-17,-18,14
US_OH_39145,2020-05-24,34.63,,,-2,9,,,-11,9
US_OH_39147,2020-05-24,34,,,-7,9,,,-15,14
US_OH_39149,2020-05-24,29.54,,,19,15,,-15,-19,14
US_OH_39151,2020-05-24,14.99,,,-24,2,215,4,-22,5
US_OH_39153,2020-05-24,8.32,,,-25,0,148,0,-24,6
US_OH_39155,2020-05-24,31.25,,,-18,7,182,0,-20,4
US_OH_39157,2020-05-24,37.08,,,-15,14,,,-18,4
US_OH_39159,2020-05-24,12.66,,,-11,7,,,-29,20
US_OH_39161,2020-05-24,35.31,,,-14,-8,,,-14,12
US_OH_39163,2020-05-15,,,,-56,9,,,-31,
US_OH_39165,2020-05-24,15.35,,,-22,4,102,-4,-24,7
US_OH_39167,2020-05-24,13.97,,,-3,8,,,-19,10
US_OH_39169,2020-05-24,5.41,,,-27,16,,-22,-18,4
