date,key,noaa_station,noaa_distance,minimum_temperature,maximum_temperature,rainfall,snowfall
2020-05-12,CL_LL,CI000085799,14.28,5.1,13.3,3,
2020-05-12,CL_LR,CIM00085766,22.079,6,13.7,5,
2020-05-12,CL_MA,CI000085934,18.318,0.4,,0,
2020-05-12,CL_ML,CI000085629,64.838,,20.7,0,
2020-05-12,CL_NB,CIM00085672,8.197,5.1,16.4,3,
2020-05-12,CL_RM,CIM00085577,3.083,6.9,20.9,0,
2020-05-12,CL_TA,CIM00085418,92.695,16.8,21.1,0,
2020-05-12,CL_VS,CIM00085574,87.477,6.5,20.4,0,
2020-05-12,CM,CM000064870,177.26,,,0,
2020-05-12,CN,CHM00056080,9.111,-2.2,18,15,
2020-05-12,CN_AH,CHM00058321,22.331,11,30,0,
2020-05-12,CN_BJ,CHM00054511,9.757,,,0,
2020-05-12,CN_CQ,CHM00057516,5.33,,26.9,0,
2020-05-12,CN_FJ,CHM00058834,86.849,21.4,31.9,0,
2020-05-12,CN_GD,CHM00059287,20.429,22.8,32.4,0,
2020-05-12,CN_GS,CHM00052787,117.284,-3.2,12.1,0,
2020-05-12,CN_GX,CHM00059431,107.894,21.8,33.1,5,
2020-05-12,CN_GZ,CHM00057816,29.575,14.6,,0,
2020-05-12,CN_HA,CHM00057083,91.914,,,0,
2020-05-12,CN_HB,CHM00057461,110.42,13.8,29.9,0,
2020-05-12,CN_HE,CHM00053698,8.091,15,29.4,0,
2020-05-12,CN_HK,MCM00045011,60.067,23,30.5,99,
2020-05-12,CN_HL,RSM00031707,149.723,0.9,13.2,0,
2020-05-12,CN_HN,CHM00057866,131.07,17.4,28.9,0,
2020-05-12,CN_JL,CHM00054161,7.53,3.6,21.3,5,
2020-05-12,CN_JS,CHM00058251,31.249,12,28.3,0,
2020-05-12,CN_JX,CHM00058715,71.47,16.4,28.8,0,
2020-05-12,CN_LN,CHM00054342,10.926,9.4,23.4,0,
2020-05-12,CN_MO,MCM00045011,4.707,23,30.5,99,
2020-05-12,CN_NM,CHM00053068,89.191,2.3,21.9,0,
2020-05-12,CN_NX,CHM00053614,6.145,6.2,26.6,0,
2020-05-12,CN_QH,CHM00056021,98.463,-6,9.6,8,
2020-05-12,CN_SC,CHM00056187,117.818,13,22.5,0,
2020-05-12,CN_SD,CHM00054843,80.976,11.5,22.5,0,
2020-05-12,CN_SH,CHM00058362,25.954,15.7,29.7,0,
2020-05-12,CN_SN,CHM00057131,19.497,12.1,28.6,0,
2020-05-12,CN_SX,CHM00053772,10.127,,28.9,0,
2020-05-12,CN_TJ,CHM00054527,6.166,13.8,26.9,0,
2020-05-12,CN_TW,CHM00059134,308.726,21.6,,0,
2020-05-12,CN_XJ,CHM00051463,4.046,18.5,28.7,0,
2020-05-12,CN_XZ,CHM00055472,181.461,-2.8,10.2,25,
2020-05-12,CN_YN,CHM00056768,57.531,18,30.7,0,
2020-05-12,CN_ZJ,CHM00058457,4.086,,30.9,0,
2020-05-12,CO,COM00080234,46.725,,,51,
2020-05-12,CO_05,COM00080112,16.894,14.5,,0,
2020-05-12,CO_05_05001,COM00080112,18.988,14.5,,0,
2020-05-12,CO_05_05002,COM00080112,41.652,14.5,,0,
2020-05-12,CO_05_05004,COM00080112,87.823,14.5,,0,
2020-05-12,CO_05_05021,COM00080112,39.097,14.5,,0,
2020-05-12,CO_05_05030,COM00080112,34,14.5,,0,
2020-05-12,CO_05_05031,COM00080112,91.193,14.5,,0,
2020-05-12,CO_05_05034,COM00080112,75.964,14.5,,0,
2020-05-12,CO_05_05036,COM00080112,32.29,14.5,,0,
2020-05-12,CO_05_05038,COM00080112,80.701,14.5,,0,
2020-05-12,CO_05_05040,COM00080112,105.567,14.5,,0,
2020-05-12,CO_05_05042,COM00080112,62.407,14.5,,0,
2020-05-12,CO_05_05044,COM00080112,50.106,14.5,,0,
2020-05-12,CO_05_05045,COM00080084,12.045,24.2,,61,
2020-05-12,CO_05_05051,COM00080063,66.149,24.9,,5,
2020-05-12,CO_05_05055,COM00080112,57.333,14.5,,0,
2020-05-12,CO_05_05059,COM00080112,40.136,14.5,,0,
2020-05-12,CO_05_05079,COM00080112,31.987,14.5,,0,
2020-05-12,CO_05_05086,COM00080112,55.819,14.5,,0,
2020-05-12,CO_05_05088,COM00080112,23.829,14.5,,0,
2020-05-12,CO_05_05091,COM00080144,73.411,24,31.4,1039,
2020-05-12,CO_05_05093,COM00080112,62.307,14.5,,0,
2020-05-12,CO_05_05101,COM00080144,70.918,24,31.4,1039,
2020-05-12,CO_05_05107,COM00080112,106.122,14.5,,0,
2020-05-12,CO_05_05113,COM00080112,81.722,14.5,,0,
2020-05-12,CO_05_05120,COM00080063,148.007,24.9,,5,
2020-05-12,CO_05_05125,COM00080112,67.741,14.5,,0,
2020-05-12,CO_05_05129,COM00080112,25.054,14.5,,0,
2020-05-12,CO_05_05134,COM00080112,91.643,14.5,,0,
2020-05-12,CO_05_05138,COM00080112,93.109,14.5,,0,
2020-05-12,CO_05_05142,COM00080112,78.442,14.5,,0,
2020-05-12,CO_05_05145,COM00080112,73.001,14.5,,0,
2020-05-12,CO_05_05147,COM00080084,8.988,24.2,,61,
2020-05-12,CO_05_05148,COM00080112,13.486,14.5,,0,
2020-05-12,CO_05_05150,COM00080112,63.955,14.5,,0,
2020-05-12,CO_05_05154,COM00080063,116.142,24.9,,5,
2020-05-12,CO_05_05172,COM00080084,16.279,24.2,,61,
2020-05-12,CO_05_05190,COM00080112,55.595,14.5,,0,
2020-05-12,CO_05_05197,COM00080112,28.87,14.5,,0,
2020-05-12,CO_05_05206,COM00080112,31.4,14.5,,0,
2020-05-12,CO_05_05209,COM00080112,55.208,14.5,,0,
2020-05-12,CO_05_05212,COM00080112,22.588,14.5,,0,
2020-05-12,CO_05_05234,COM00080084,103.185,24.2,,61,
2020-05-12,CO_05_05237,COM00080112,35.818,14.5,,0,
2020-05-12,CO_05_05240,COM00080112,41.97,14.5,,0,
2020-05-12,CO_05_05250,COM00080091,127.996,22.8,,41,
2020-05-12,CO_05_05264,COM00080112,45.649,14.5,,0,
2020-05-12,CO_05_05266,COM00080112,17.41,14.5,,0,
2020-05-12,CO_05_05282,COM00080112,38.378,14.5,,0,
2020-05-12,CO_05_05284,COM00080112,103.865,14.5,,0,
2020-05-12,CO_05_05306,COM00080112,81.96,14.5,,0,
2020-05-12,CO_05_05308,COM00080112,23.713,14.5,,0,
2020-05-12,CO_05_05310,COM00080112,61.772,14.5,,0,
2020-05-12,CO_05_05313,COM00080112,26.391,14.5,,0,
2020-05-12,CO_05_05315,COM00080112,74.931,14.5,,0,
2020-05-12,CO_05_05318,COM00080112,12.87,14.5,,0,
2020-05-12,CO_05_05321,COM00080112,30.185,14.5,,0,
2020-05-12,CO_05_05347,COM00080112,34.325,14.5,,0,
2020-05-12,CO_05_05353,COM00080112,67.435,14.5,,0,
2020-05-12,CO_05_05360,COM00080112,20.653,14.5,,0,
2020-05-12,CO_05_05361,COM00080112,118.067,14.5,,0,
2020-05-12,CO_05_05364,COM00080112,76.809,14.5,,0,
2020-05-12,CO_05_05368,COM00080112,57.798,14.5,,0,
2020-05-12,CO_05_05376,COM00080112,15.29,14.5,,0,
2020-05-12,CO_05_05380,COM00080112,24.171,14.5,,0,
2020-05-12,CO_05_05390,COM00080112,51.195,14.5,,0,
2020-05-12,CO_05_05400,COM00080112,22.45,14.5,,0,
2020-05-12,CO_05_05411,COM00080112,71.467,14.5,,0,
2020-05-12,CO_05_05425,COM00080112,82.494,14.5,,0,
2020-05-12,CO_05_05440,COM00080112,9.361,14.5,,0,
2020-05-12,CO_05_05467,COM00080112,26.923,14.5,,0,
2020-05-12,CO_05_05475,COM00080084,92.078,24.2,,61,
2020-05-12,CO_05_05480,COM00080084,70.394,24.2,,61,
2020-05-12,CO_05_05483,COM00080112,67.579,14.5,,0,
2020-05-12,CO_05_05490,COM00080084,68.685,24.2,,61,
2020-05-12,CO_05_05495,COM00080063,141.174,24.9,,5,
2020-05-12,CO_05_05501,COM00080112,67.067,14.5,,0,
2020-05-12,CO_05_05541,COM00080112,20.899,14.5,,0,
2020-05-12,CO_05_05543,COM00080112,109.374,14.5,,0,
2020-05-12,CO_05_05576,COM00080112,62.196,14.5,,0,
2020-05-12,CO_05_05579,COM00080091,88.767,22.8,,41,
2020-05-12,CO_05_05585,COM00080112,92.849,14.5,,0,
2020-05-12,CO_05_05591,COM00080112,92.54,14.5,,0,
2020-05-12,CO_05_05604,COM00080091,97.909,22.8,,41,
2020-05-12,CO_05_05607,COM00080112,14.736,14.5,,0,
2020-05-12,CO_05_05615,COM00080112,5.554,14.5,,0,
2020-05-12,CO_05_05628,COM00080028,28.928,,36.9,,
2020-05-12,CO_05_05631,COM00080112,21.291,14.5,,0,
2020-05-12,CO_05_05642,COM00080112,65.284,14.5,,0,
2020-05-12,CO_05_05647,COM00080112,87.918,14.5,,0,
2020-05-12,CO_05_05649,COM00080112,47.701,14.5,,0,
2020-05-12,CO_05_05652,COM00080112,41.979,14.5,,0,
2020-05-12,CO_05_05656,COM00080112,45.633,14.5,,0,
2020-05-12,CO_05_05658,COM00080112,81.425,14.5,,0,
2020-05-12,CO_05_05659,COM00080063,77.549,24.9,,5,
2020-05-12,CO_05_05660,COM00080112,49.444,14.5,,0,
2020-05-12,CO_05_05664,COM00080112,35.981,14.5,,0,
2020-05-12,CO_05_05665,COM00080084,63.613,24.2,,61,
2020-05-12,CO_05_05667,COM00080112,46.002,14.5,,0,
2020-05-12,CO_05_05670,COM00080112,57.068,14.5,,0,
2020-05-12,CO_05_05674,COM00080112,16.43,14.5,,0,
2020-05-12,CO_05_05679,COM00080112,35.96,14.5,,0,
2020-05-12,CO_05_05686,COM00080112,53.798,14.5,,0,
2020-05-12,CO_05_05690,COM00080112,44.334,14.5,,0,
2020-05-12,CO_05_05697,COM00080112,17.86,14.5,,0,
2020-05-12,CO_05_05736,COM00080091,98.944,22.8,,41,
2020-05-12,CO_05_05756,COM00080112,52.176,14.5,,0,
2020-05-12,CO_05_05761,COM00080112,51.54,14.5,,0,
2020-05-12,CO_05_05789,COM00080112,64.313,14.5,,0,
2020-05-12,CO_05_05790,COM00080063,145.682,24.9,,5,
2020-05-12,CO_05_05792,COM00080112,55.375,14.5,,0,
2020-05-12,CO_05_05809,COM00080112,42.545,14.5,,0,
2020-05-12,CO_05_05819,COM00080112,98.934,14.5,,0,
2020-05-12,CO_05_05837,COM00080084,31.291,24.2,,61,
2020-05-12,CO_05_05842,COM00080112,116.356,14.5,,0,
2020-05-12,CO_05_05847,COM00080112,80.398,14.5,,0,
2020-05-12,CO_05_05854,COM00080112,111.09,14.5,,0,
2020-05-12,CO_05_05856,COM00080112,65.21,14.5,,0,
2020-05-12,CO_05_05858,COM00080112,96.56,14.5,,0,
2020-05-12,CO_05_05861,COM00080112,41.183,14.5,,0,
2020-05-12,CO_05_05873,COM00080144,103.949,24,31.4,1039,
2020-05-12,CO_05_05885,COM00080112,85.882,14.5,,0,
2020-05-12,CO_05_05887,COM00080112,88.801,14.5,,0,
2020-05-12,CO_05_05890,COM00080112,66.175,14.5,,0,
2020-05-12,CO_05_05893,COM00080091,11.423,22.8,,41,
2020-05-12,CO_05_05895,COM00080091,127.968,22.8,,41,
2020-05-12,CO_08,COM00080028,10.385,,36.9,,
2020-05-12,CO_08_08001,COM00080028,8.389,,36.9,,
2020-05-12,CO_08_08078,COM00080028,18.415,,36.9,,
2020-05-12,CO_08_08137,COM00080028,58.022,,36.9,,
2020-05-12,CO_08_08141,COM00080028,49.141,,36.9,,
2020-05-12,CO_08_08296,COM00080028,11.447,,36.9,,
2020-05-12,CO_08_08372,COM00080028,28.574,,36.9,,
2020-05-12,CO_08_08421,COM00080022,44.624,27.3,,0,
2020-05-12,CO_08_08433,COM00080028,3.314,,36.9,,
2020-05-12,CO_08_08436,COM00080028,52.875,,36.9,,
2020-05-12,CO_08_08520,COM00080028,17.051,,36.9,,
2020-05-12,CO_08_08549,COM00080028,38.909,,36.9,,
2020-05-12,CO_08_08558,COM00080028,14.794,,36.9,,
2020-05-12,CO_08_08560,COM00080028,27.76,,36.9,,
2020-05-12,CO_08_08573,COM00080028,21.936,,36.9,,
2020-05-12,CO_08_08606,COM00080022,42.928,27.3,,0,
2020-05-12,CO_08_08634,COM00080028,11.435,,36.9,,
2020-05-12,CO_08_08638,COM00080028,32.851,,36.9,,
2020-05-12,CO_08_08675,COM00080022,62.012,27.3,,0,
2020-05-12,CO_08_08685,COM00080028,14.992,,36.9,,
2020-05-12,CO_08_08758,COM00080028,2.256,,36.9,,
2020-05-12,CO_08_08770,COM00080028,62.943,,36.9,,
2020-05-12,CO_08_08832,COM00080028,21.657,,36.9,,
2020-05-12,CO_08_08849,COM00080028,26.856,,36.9,,
2020-05-12,CO_11,CO000080222,13.201,9.6,21.6,0,
2020-05-12,CO_11_11001,CO000080222,13.201,9.6,21.6,0,
2020-05-12,CO_13,COM00080022,4.883,27.3,,0,
2020-05-12,CO_13_13001,COM00080022,2.447,27.3,,0,
2020-05-12,CO_13_13006,COM00080063,142.473,24.9,,5,
2020-05-12,CO_13_13030,COM00080063,182.763,24.9,,5,
2020-05-12,CO_13_13042,COM00080091,160.288,22.8,,41,
2020-05-12,CO_13_13052,COM00080022,27.779,27.3,,0,
2020-05-12,CO_13_13062,COM00080022,58.098,27.3,,0,
2020-05-12,CO_13_13074,COM00080063,189.521,24.9,,5,
2020-05-12,CO_13_13140,COM00080022,68.744,27.3,,0,
2020-05-12,CO_13_13160,COM00080091,40.947,22.8,,41,
2020-05-12,CO_13_13188,COM00080063,139.25,24.9,,5,
2020-05-12,CO_13_13212,COM00080022,123.475,27.3,,0,
2020-05-12,CO_13_13222,COM00080022,24.776,27.3,,0,
2020-05-12,CO_13_13244,COM00080022,91.613,27.3,,0,
2020-05-12,CO_13_13248,COM00080214,47.982,,,,
2020-05-12,CO_13_13268,COM00080036,178.25,,,,
2020-05-12,CO_13_13300,COM00080036,187.882,,,,
2020-05-12,CO_13_13430,COM00080063,126.241,24.9,,5,
2020-05-12,CO_13_13433,COM00080022,42.25,27.3,,0,
2020-05-12,CO_13_13440,COM00080063,172.883,24.9,,5,
2020-05-12,CO_13_13442,COM00080022,56.381,27.3,,0,
2020-05-12,CO_13_13458,COM00080091,159.37,22.8,,41,
2020-05-12,CO_13_13468,COM00080063,160.688,24.9,,5,
2020-05-12,CO_13_13473,COM00080091,139.52,22.8,,41,
2020-05-12,CO_13_13490,COM00080091,169.004,22.8,,41,
2020-05-12,CO_13_13549,COM00080063,150.251,24.9,,5,
2020-05-12,CO_13_13580,COM00080097,165.957,,,0,
2020-05-12,CO_13_13600,COM00080097,163.609,,,0,
2020-05-12,CO_13_13620,COM00080022,49.529,27.3,,0,
2020-05-12,CO_13_13647,COM00080022,39.863,27.3,,0,
2020-05-12,CO_13_13650,COM00080063,170.651,24.9,,5,
2020-05-12,CO_13_13654,COM00080022,80.315,27.3,,0,
2020-05-12,CO_13_13655,COM00080063,137.407,24.9,,5,
2020-05-12,CO_13_13657,COM00080022,72.133,27.3,,0,
2020-05-12,CO_13_13667,COM00080036,187.562,,,,
2020-05-12,CO_13_13670,COM00080091,51.923,22.8,,41,
2020-05-12,CO_13_13673,COM00080022,30.51,27.3,,0,
2020-05-12,CO_13_13683,COM00080022,15.799,27.3,,0,
2020-05-12,CO_13_13688,COM00080091,107.956,22.8,,41,
2020-05-12,CO_13_13744,COM00080091,104.838,22.8,,41,
2020-05-12,CO_13_13760,COM00080022,41.561,27.3,,0,
2020-05-12,CO_13_13780,COM00080063,148.109,24.9,,5,
2020-05-12,CO_13_13810,COM00080063,174.292,24.9,,5,
2020-05-12,CO_13_13836,COM00080022,16.333,27.3,,0,
2020-05-12,CO_13_13838,COM00080022,20.285,27.3,,0,
2020-05-12,CO_13_13873,COM00080022,26.066,27.3,,0,
2020-05-12,CO_13_13894,COM00080022,108.723,27.3,,0,
2020-05-12,CO_15,CO000080222,126.895,9.6,21.6,0,
2020-05-12,CO_15_15001,CO000080222,127.858,9.6,21.6,0,
2020-05-12,CO_15_15022,CO000080222,90.601,9.6,21.6,0,
2020-05-12,CO_15_15047,CO000080222,167.246,9.6,21.6,0,
2020-05-12,CO_15_15051,CO000080222,141.274,9.6,21.6,0,
2020-05-12,CO_15_15087,COM00080094,130.071,20.3,,0,
2020-05-12,CO_15_15090,CO000080222,127.584,9.6,21.6,0,
2020-05-12,CO_15_15092,COM00080094,141.504,20.3,,0,
2020-05-12,CO_15_15097,COM00080094,110.668,20.3,,0,
2020-05-12,CO_15_15104,CO000080222,121.001,9.6,21.6,0,
2020-05-12,CO_15_15106,CO000080222,113.013,9.6,21.6,0,
2020-05-12,CO_15_15109,CO000080222,93.04,9.6,21.6,0,
2020-05-12,CO_15_15114,COM00080094,148.016,20.3,,0,
2020-05-12,CO_15_15131,CO000080222,99.993,9.6,21.6,0,
2020-05-12,CO_15_15135,COM00080234,111.455,,,51,
2020-05-12,CO_15_15162,COM00080094,132.838,20.3,,0,
2020-05-12,CO_15_15172,CO000080222,100.89,9.6,21.6,0,
2020-05-12,CO_15_15176,CO000080222,108.434,9.6,21.6,0,
2020-05-12,CO_15_15180,COM00080094,99.034,20.3,,0,
2020-05-12,CO_15_15183,COM00080094,130.806,20.3,,0,
2020-05-12,CO_15_15185,COM00080091,117.679,22.8,,41,
2020-05-12,CO_15_15187,CO000080222,135.431,9.6,21.6,0,
2020-05-12,CO_15_15189,CO000080222,123.087,9.6,21.6,0,
2020-05-12,CO_15_15204,CO000080222,138.415,9.6,21.6,0,
2020-05-12,CO_15_15212,CO000080222,86.715,9.6,21.6,0,
2020-05-12,CO_15_15215,COM00080094,149.228,20.3,,0,
2020-05-12,CO_15_15218,COM00080094,85.364,20.3,,0,
2020-05-12,CO_15_15223,COM00080097,112.339,,,0,
2020-05-12,CO_15_15224,CO000080222,121.377,9.6,21.6,0,
2020-05-12,CO_15_15226,CO000080222,163.61,9.6,21.6,0,
2020-05-12,CO_15_15232,CO000080222,124.846,9.6,21.6,0,
